type,assignee,createdAt,created_at_epoch,description,comments,id,url
Improvement,James Strachan,18/Apr/07 16:06,1176912360,,[],1,https://issues.apache.org/jira/browse/CAMEL-1
Bug,Hiram R. Chirino,18/May/07 12:57,1179493020,Will attach a dump,"[{""author"": ""Hiram R. Chirino"", ""created_at"": ""18/May/07 16:01"", ""created_at_epoch"": 1179504060, ""text"": ""Fixed.  Cwiki updated for amq, nms, cpp, and camel spaces.""}]",2,https://issues.apache.org/jira/browse/CAMEL-2
Bug,James Strachan,04/Jun/07 07:38,1180942680,"publicvoid testNPE()throwsException {finalCamelContext camelContext =newDefaultCamelContext();finalStringfromQueue =""queue:A"";
        camelContext.addRoutes(newRouteBuilder() {publicvoid configure()throwsException {
                from(fromQueue).process(newProcessor() {publicvoid process(Exchange exchange)throwsException {finalMessage in = exchange.getIn();
                        assertNotNull(""Message is Null"", in);StringisDebugString = in.getHeader(""someproperty"",String.class);
                        assertNull(isDebugString);
                        assertNotNull(""Message is Null"", in);booleanisDebug = in.getHeader(""someproperty"",Boolean.class);
                        assertFalse(isDebug);
                    }
                });
            }
        });
        camelContext.start();newCamelTemplate(camelContext).sendBody(fromQueue,""ha!"");Thread.sleep(5000L);
    }throws NPE on the isDebug = ... line.","[{""author"": ""James Strachan"", ""created_at"": ""04/Jun/07 10:09"", ""created_at_epoch"": 1180951740, ""text"": ""I've added a test case herehttps://svn.apache.org/repos/asf/activemq/camel/trunk/camel-core/src/test/java/org/apache/camel/issues/Issue3Test.javawhich is a minor refactor of your test case. (I switched to the direct: endpoint so that the send is synchronous, so no need to sleep & the exception fails the test case - also I used the handy base class for starting/stopping the context etc).I got a valid stack trace BTW. I suspect the reason you didn't was a JVM thing (e.g. try running with hotspot disabled maybe?).Basically the issue was to do with Java 5's type coercion and not anything specific with Camel.Boolean b = in.getHeader(\""foo\"", Boolean.class);does work fine and returns null for an undefined property. However if you force it to be coerced to a 'boolean' rather than 'Boolean') you get an NPE as the value is null (since there is no header called \""foo\""). (The same is true when converting from Integer to int when the value is null).I've just patched the converter code so that if you doboolean b = in.getHeader(\""foo\"", boolean.class);then it returns a valid value and does not throw an NPE. (i.e. it returns false for missing headers).""}]",3,https://issues.apache.org/jira/browse/CAMEL-3
New Feature,James Strachan,07/Jun/07 20:51,1181249460,,[],4,https://issues.apache.org/jira/browse/CAMEL-4
New Feature,Willem Jiang,07/Jun/07 20:54,1181249640,There's some discussion on this issue here:http://www.nabble.com/Monitoring-and-management-of-Camel-tf3886171s22882.html,[],5,https://issues.apache.org/jira/browse/CAMEL-5
New Feature,Willem Jiang,07/Jun/07 20:54,1181249640,There's some discussion on this issue here:http://www.nabble.com/Monitoring-and-management-of-Camel-tf3886171s22882.html,"[{""author"": ""Willem Jiang"", ""created_at"": ""19/May/08 02:32"", ""created_at_epoch"": 1211164320, ""text"": ""Current Camel uses LifecycleStrategy to listen the Context's creation, Endpoint, Router, Service's adding events.So they are the same thing with the CamelRouterListener and CamelEndpointListener.Since there is no method call for the route and endpoint stopping, removing in camel, all these instance will be clean up when stopping the CamelContext.I think we can resolve this issue.""}]",6,https://issues.apache.org/jira/browse/CAMEL-6
New Feature,James Strachan,07/Jun/07 21:07,1181250420,Background:http://www.enterpriseintegrationpatterns.com/Aggregator.htmlDocs go here:http://activemq.apache.org/camel/enterprise-integration-patterns.html,[],7,https://issues.apache.org/jira/browse/CAMEL-7
New Feature,James Strachan,07/Jun/07 21:09,1181250540,Background:http://www.enterpriseintegrationpatterns.com/DynamicRouter.htmlDocs:http://activemq.apache.org/camel/enterprise-integration-patterns.html,[],8,https://issues.apache.org/jira/browse/CAMEL-8
New Feature,James Strachan,07/Jun/07 21:11,1181250660,To visualise routes as DOT files or in Eclipse we need to be able to walk the tree as simple POJOs more easily,"[{""author"": ""James Strachan"", ""created_at"": ""30/Jul/07 16:53"", ""created_at_epoch"": 1185814380, ""text"": ""FWIW the need for this has diminished slightly due to the new JAXB2 POJO model we have; as the POJO model is fairly easy to navigate""}, {""author"": ""James Strachan"", ""created_at"": ""28/Aug/07 11:12"", ""created_at_epoch"": 1188299520, ""text"": ""I don't think we need this anymore as we have the POJO model for the routing definition in org.apache.camel.model package""}]",9,https://issues.apache.org/jira/browse/CAMEL-9
New Feature,Hadrian Zbarcea,07/Jun/07 21:12,1181250720,,[],10,https://issues.apache.org/jira/browse/CAMEL-10
New Feature,Hadrian Zbarcea,07/Jun/07 21:14,1181250840,"e.g. be able to look in camel-core or camel-jms or whatever and see what types from -> to etce.g.Document -> String, Source, byte[], Stax ....etc",[],11,https://issues.apache.org/jira/browse/CAMEL-11
New Feature,James Strachan,07/Jun/07 21:17,1181251020,we've got the basic camel.view classes for making a DOT file (wiki notation for graphical pictures of routes). e.g. see ServiceMix stuff...http://incubator.apache.org/servicemix/visualisation.htmlso we need to be able to automatically generate nice graphs,[],12,https://issues.apache.org/jira/browse/CAMEL-12
New Feature,James Strachan,11/Jun/07 17:42,1181583720,"Component for Remote Files. Similar to the File Component, but using remote files over various protocols (currently supporting FTP, SFTP. WebDAV planned).Generally works, but still needs unit tests.","[{""author"": ""James Strachan"", ""created_at"": ""11/Jun/07 18:24"", ""created_at_epoch"": 1181586240, ""text"": ""Patch applied with many thanks! I added an Apache FtpServer based test case too. We get an error warning when the test case runs we should tidy up (to do with shutting down while the poller keeps on going) but other than that its looking great! Nicely done!""}]",13,https://issues.apache.org/jira/browse/CAMEL-13
New Feature,Noah Nordrum,11/Jun/07 19:07,1181588820,"If you have a route that goes through a processor that is expensive, you may want to pool that processor so it's not holding up the rest of the route.Configuration could look as such:from(""activemq:queue:SOMETHING"").pool(5 [min], 15 [max]).process(newExpensiveMessageEnricher()).to(""activemq:queue:SOMEWHERE_ELSE"");
or
from(""activemq:queue:SOMETHING"").process(newExpensiveMessageEnricher()).pool(5 [min], 15 [max]).to(""activemq:queue:SOMEWHERE_ELSE"");I'm not sure exactly how these would differ, but I think the first one would have 5-15 MQ queue listeners, which would all go through 1 EME, and then through 1 mq producer, and the second would have 1 mq listener that would dispatch to one of the 5-15 EME threads (if available?, not sure if that level of interaction between steps is good), and then go through 1 mq producer.Seems like the first would be the better option as I write this...Notes from IRC convo with James:first thought is; we might wanna wrap a Producer in a factory thingy that does pooling (e.g. like the way spring does pooling using interceptors etc); but that the pool part could be done wherever a Processor can be used",[],14,https://issues.apache.org/jira/browse/CAMEL-14
New Feature,James Strachan,12/Jun/07 19:16,1181675760,,"[{""author"": ""Hiram R. Chirino"", ""created_at"": ""12/Jun/07 19:17"", ""created_at_epoch"": 1181675820, ""text"": ""implemented.""}]",15,https://issues.apache.org/jira/browse/CAMEL-15
New Feature,James Strachan,12/Jun/07 19:24,1181676240,Be able to send and receive exchanges from JMS endpoints.,"[{""author"": ""Hiram R. Chirino"", ""created_at"": ""12/Jun/07 19:24"", ""created_at_epoch"": 1181676240, ""text"": ""implemented.""}]",16,https://issues.apache.org/jira/browse/CAMEL-16
New Feature,James Strachan,12/Jun/07 19:37,1181677020,Provide a declarative way to correlate the multiple process actions related to business activity and generate monitoring events when pocessing constraints are violated.,[],17,https://issues.apache.org/jira/browse/CAMEL-17
New Feature,James Strachan,12/Jun/07 19:40,1181677200,,"[{""author"": ""Hiram R. Chirino"", ""created_at"": ""12/Jun/07 19:40"", ""created_at_epoch"": 1181677200, ""text"": ""implemented.""}]",18,https://issues.apache.org/jira/browse/CAMEL-18
New Feature,James Strachan,12/Jun/07 19:45,1181677500,,"[{""author"": ""Hiram R. Chirino"", ""created_at"": ""12/Jun/07 19:45"", ""created_at_epoch"": 1181677500, ""text"": ""implemented.""}]",19,https://issues.apache.org/jira/browse/CAMEL-19
New Feature,Hiram R. Chirino,12/Jun/07 19:47,1181677620,Allows for subsequent Exchange processors to work with an exchanages that has a Pojo based body.,"[{""author"": ""Hiram R. Chirino"", ""created_at"": ""12/Jun/07 19:48"", ""created_at_epoch"": 1181677680, ""text"": ""The JaxbConverter has been implemented but I have not seen any use cases for it.""}, {""author"": ""James Strachan"", ""created_at"": ""30/Jul/07 16:52"", ""created_at_epoch"": 1185814320, ""text"": ""the camel-jaxb module now has a FaillbackTypeConverter so that any POJO which has an @XmlRootElement is automatically convertable to a stream/Source/Result/Document etc.However we should also add some JaxbMarshaller plugin so that if a POJO does not have any JAXB annotations we can still use a JAXB conversion""}, {""author"": ""James Strachan"", ""created_at"": ""11/Oct/07 18:29"", ""created_at_epoch"": 1192127340, ""text"": ""see theData Format supportsuch as forJAXB""}]",20,https://issues.apache.org/jira/browse/CAMEL-20
New Feature,James Strachan,12/Jun/07 19:50,1181677800,,"[{""author"": ""Hiram R. Chirino"", ""created_at"": ""12/Jun/07 19:50"", ""created_at_epoch"": 1181677800, ""text"": ""implemented.""}]",21,https://issues.apache.org/jira/browse/CAMEL-21
New Feature,James Strachan,12/Jun/07 19:53,1181677980,,[],22,https://issues.apache.org/jira/browse/CAMEL-22
